timestamp,total,positive,negative,pending,inconclusive
2020-03-16 18:15:00 EDT,1824,160,816,848,NA
2020-03-17 09:59:00 EDT,2004,192,940,872,NA
2020-03-18 09:55:00 EDT,2493,314,1225,954,NA
2020-03-18 17:08:00 EDT,2800,328,1332,1140,NA
2020-03-19 09:54:00 EDT,2942,390,1533,1019,NA
2020-03-19 16:53:00 EDT,NA,NA,NA,NA,NA
2020-03-20 09:55:00 EDT,3418,520,1870,1028,NA
2020-03-20 17:40:00 EDT,6277,563,5714,1095,0
2020-03-21 10:08:00 EDT,7237,658,6579,1002,0
2020-03-21 17:31:00 EDT,8334,763,7570,1004,1
2020-03-22 09:51:00 EDT,8821,830,7990,962,1
2020-03-22 18:28:00 EDT,10338,1007,9330,932,1
2020-03-23 09:49:00 EDT,12235,1171,11063,859,1
2020-03-23 17:09:00 EDT,12865,1227,11637,1100,1
2020-03-23 22:20:00 EDT,12865,1227,11637,1100,1
2020-03-24 10:12:00 EDT,14540,1412,13127,1007,1
2020-03-24 16:57:00 EDT,14826,1467,13358,1220,1
2020-03-25 10:07:00 EDT,17058,1682,15374,1231,2
2020-03-25 17:45:00 EDT,22145,1977,20165,1578,3
2020-03-26 11:07:00 EDT,26099,2355,23741,1440,3
2020-03-26 16:59:00 EDT,27343,2484,24855,NA,4
2020-03-26 18:23:00 EDT,27343,2484,24855,NA,4
2020-03-27 10:26:00 EDT,31432,2900,28525,NA,7
2020-03-27 18:19:00 EDT,34322,3198,31114,NA,10
2020-03-28 10:15:00 EDT,39524,3763,35750,NA,11
2020-03-28 17:47:00 EDT,41769,4038,37720,NA,11
2020-03-29 10:02:00 EDT,43747,4246,39491,NA,10
2020-03-29 17:32:00 EDT,49443,4950,44481,NA,12
2020-03-30 10:13:00 EDT,54182,5473,48697,NA,12
2020-03-30 17:33:00 EDT,55516,5704,49796,NA,16
2020-03-31 10:55:00 EDT,60639,6338,54285,NA,16
2020-03-31 17:42:00 EDT,63400,6741,56644,NA,15
2020-04-01 13:01:00 EDT,66498,6954,59529,NA,15
2020-04-01 17:14:00 EDT,68336,7773,60539,NA,24
2020-04-02 10:21:00 EDT,77319,8010,69286,NA,23
2020-04-02 17:15:00 EDT,80385,9008,71348,NA,29
2020-04-03 09:55:00 EDT,91755,9585,82137,NA,33
2020-04-03 17:25:00 EDT,94447,10268,84144,NA,35
2020-04-04 09:49:00 EDT,102108,11111,90956,NA,41
2020-04-04 16:53:00 EDT,105994,11545,94401,NA,48
2020-04-05 09:45:00 EDT,113451,12151,101253,NA,47
2020-04-05 16:48:00 EDT,115704,12350,103301,NA,53
2020-04-06 09:43:00 EDT,123335,13324,109950,NA,61
2020-04-06 16:57:00 EDT,124726,13629,111022,NA,75
2020-04-07 10:22:00 EDT,137375,14504,122792,NA,79
